α	Pr	α
ἐκπρεπεστάτη	a-s---fns	ἐκπρεπής
ἔκραν	V-	ἔκραν
κἀκτρέποιτο	v3spoe---	ἐκτρέπω
ἐκτραφεὶς	v-sappmn-	ἐκτρέφω
ἐκτροπάς	n-p---fa-	ἐκτροπή
ἐκύρσατ	V-	ἐκύρσατ
ἐκύρωσας	V-	ἐκύρωσας
ἐκχέας	v-sapamn-	ἐκχέω
ἐκχέασα	v-sapafn-	ἐκχέω
ἐλαίας	Nb	ἐλαίας
ἔλακες	V-	ἔλακες
ἐλάται	V-	ἐλάται
ἐλέγξας	v-sapamn-	ἐλέγγω
ἐλέγξας	v2saia---	ἐλέγσσω
Ἑλένας	n-s---fg-	Ἑλένη
Ἑλλάδα	Ne	ἑλλάς
Ἑλλάδι	Ne	ἑλλάς
Ἑλλάδος	Ne	ἑλλάς
Ἑλλάνων	n-p---mg-	ἕλλην
ἐλπίδας	Nb	ἐλπίς
Ἔμβαλλε	V-	ἐμβάλλω
ἐμβατεύσετε	V-	ἐμβατεύσετε
ἐμβλέψασα	v-sapafn-	ἐμβλέπω
ἐμβολὰς	Nb	ἐμβολή
ἐμμανεῖς	A-	ἐμμανής
ἐμά	a-p---nv-	ἐμός
ἐμά	a-p---na-	ἐμός
ἐμά	a-s---fn-	ἐμός
ἐμὰ	a-s---fn-	ἐμός
ἐμὰ	a-p---na-	ἐμός
ἐμὰ	Ps	ἐμός
ἐμάν	a-s---fa-	ἐμός
ἐμὰν	a-s---fa-	ἐμός
ἐμάς	a-p---fa-	ἐμός
ἐμὰς	a-p---fa-	ἐμός
ἐμὰς	a-s---fg-	ἐμός
κἀμὸν	a-s---fa-	ἐμός
κἀμὸν	a-s---ma-	ἐμός
κἀμὸν	n-s---na-	ἐμός
κἀμὸν	a-s---na-	ἐμός
τἀμὰ	p-p---na-	ἐμός
τἀμὰ	a-p---na-	ἐμός
τἀμὰ	a-p---nn-	ἐμός
τἀμὰ	p-p---nn-	ἐμός
ἐμπλακεὶς	v-sappmn-	ἐμπλέκω
ἐμπρήσας	v-sapamn-	ἐμπρέω
ἐμφανῶς	Df	ἐμφανής
ἐνὶ	r--------	ἐν
ἔνι	d--------	ἐν
ἔνι	r--------	ἐν
Κἀν	r--------	ἐν
τἂν	l-s---fa-	ἐν
τἂν	g--------	ἐν
τἂν	r--------	ἐν
τἂν	Df	ἐν
ἐναντίων	A-	ἐναντίος
ἐναργῆ	A-	ἐναργής
τἄνδον	n-s---fa-	ἔνδον
τἄνδον	d--------	ἔνδον
τἄνδον	p-s---fa-	ἔνδον
ἐνδυστυχῆσαι	V-	ἐνδυστυχέω
ἔνισπε	v2sama---	ἐνέπω
τἀνθένδ’	d--------	ἐνθένδ’
τἀνθένδε	p-p---nn-	ἐνθένδε
τἀνθένδε	p-p---na-	ἐνθένδε
ἐνθανεῖν	v--ana---	ἐνθνήσκω
ἐνισπεῖν	V-	ἐνισπέω
ἐννυχίων	A-	ἐννύχιος
ἐνοπάν	v-sppamv-	ἐνοπή
τἀντεῦθεν	d--------	ἐντεῦθεν
ἐνυπνίων	Nb	ἐνυίνπον
ἔξαγ	V-	ἔξαγμι
ἐξάγει	V-	ἐξάγω
ἐξαγωνίζεσθε	V-	ἐξαγωνίζεσθε
ἐξαλλαγεὶς	V-	ἐξαλλαγεὶς
ἐξανισταίην	V-	ἐξανισταίην
ἐξανύτουσ	V-	ἐξανύτουσ
ἐξαπαλλάξαι	V-	ἐξαπαλλάσσω
ἐξελίξας	V-	ἐξελίγνυμι
ἐξερημώσας	v-sapamn-	ἐξερημόω
ἐξημερώσας	v-sapamn-	ἐξημερόω
ἐξικοίμεθα	V-	ἐξικοίμεθα
ἐξομιλεῖσθαι	V-	ἐξομιλέω
ἐξομόρξασθαι	v--anm---	ἐξομόρσσω
ἐξοχώτατος	a-s---mns	ἐξοχώς
ἐξηνέγκατο	v3saim---	ἐξφέρω
ἑορτάς	n-p---fa-	ἑορτή
ἑορτὰς	n-p---fa-	ἑορτή
ἐπαισχυνθήσομαι	V-	ἐπαισχύνω
ἔπαλξις	Nb	ἔπαλξις
ἐπαξίων	A-	ἐπάξιος
ἐπειδὰν	G-	ἐπειδάν
ἐπίδοι	v3saoa---	ἐπεῖδον
ἐπίδοιμι	v1saoa---	ἐπεῖδον
ἐπιδὼν	v-sapamn-	ἐπεῖδον
ἐπέλασ	V-	ἐπέλασ
ἐπέμψατο	v3saim---	ἐπέμβω
ἐπισχήσω	v1sfia---	ἐπέχω
ἐπισχὼν	v-sapamn-	ἐπέχω
ἐπὶ	R-	ἐπί
ἐπίθετ	V-	ἐπίθετ
ἐπικτήσῃ	V-	ἐπικτέω
ἐπιλεχθῇς	V-	ἐπιλεχθῇς
ἐπιστενάζετε	V-	ἐπιστενάζετε
ἐπιστρέφεις	V-	ἐπιστρέφεις
ἐπιτηδεύσεις	Nb	ἐπιτηδεύσεις
τἄπη	n-p---nn-	ἔπος
τἄπη	n-p---na-	ἔπος
τἄπη	a-p---nn-	ἔπος
ἐπόψιμον	A-	ἐπόψιμος
ἐπῳδὰς	n-p---fa-	ἐπῳδή
ἐπώνυμα	A-	ἐπώνυμος
ἐπωνύμῳ	A-	ἐπώνυμος
ἐπωπάς	n-p---fa-	ἐπωπή
Ἐρασίνου	Ne	Ἐρασίνης
ἔργα	n-p---nn-	ἔργον
ἔργα	n-p---na-	ἔργον
τἄργα	n-p---nn-	ἔργον
τἄργα	n-p---na-	ἔργον
ἔρξας	v-sapamn-	ἔρδω
ἐρεθίζων	V-	ἐρεθίζω
ἐρήμα	a-p---nn-	ἐρήμος
ἐρημώσας	v-sapamn-	ἐρημώζω
ἔρις	Nb	ἔρις
ἑρκείας	a-p---fa-	ἑρκεῖος
ἑρμηνευμάτων	Nb	ἑρμηνευμάτων
ἔρξαντες	v-papamn-	ἔρσσω
εἰρημένα	v-prpenn-	ἐρῶ
ῥηθέντα	v-pappna-	ἐρῶ
ἐσβολάν	n-s---fa-	ἐσβολή
ἐσβολὰς	n-p---fa-	ἐσβολή
ἐσιδών	v2saia---	ἐσεῖδον
ἐσθλά	a-p---na-	ἐσθλός
ἐσθλὰ	a-p---na-	ἐσθλός
ἐσθλὰς	a-p---fa-	ἐσθλός
ἐσκέψατο	v3saim---	ἐσκέβω
ἐσπανίσμεθ	V-	ἐσπανίσμεθ
ἔσταζ	V-	ἔσταζ
ἕσταμεν	V-	ἕσταμεν
ἐστήριζε	V-	ἐστήριζε
ἑστία	a-s---fn-	ἑστῖος
ἐσφάλης	V-	ἐσφάλης
ἐσφάλης	v2saip---	ἐσφέλω
ἐσφενδόνα	n-s---fa-	ἐσφενδών
Ἐτεοκλέα	n-s---ma-	ἐτεοκλῆς
ἑτέρα	a-s---fd-	ἕτερος
ἑτέρα	a-p---na-	ἕτερος
ἑτέραν	a-s---fa-	ἕτερος
ἑτέρας	a-p---fa-	ἕτερος
θατέρου	a-s---mg-	ἕτερος
χἀτέρῳ	a-s---md-	ἕτερος
ἔταν	v3saia---	ἔτης
ἐτητύμως	Df	ἐτήτυμος
ἐτράφης	v2saip---	ἐτρέφω
εὐαγγέλου	Ne	εὐαγγέλου
εὐανδρίαι	Nb	εὐανδρία
εὐδαιμονίας	Nb	εὐδαιμονία
εὐδοκίμων	A-	εὐδόκιμος
ηὔθυνε	V-	εὐθύνω
εὐλαβεστέρως	Df	εὐλαβεστέρως
εὐμαθές	A-	εὐμαθής
εὐμορφίας	Nb	εὐμορφίη
Εὐρυσθέως	Ne	Εὐρυσθέως
εὐτυχεῖς	A-	εὐτυχεῖς
εὐτυχεῖ	A-	εὐτυχέω
εὐτυχοῦντα	V-	εὐτυχέω
εὐτυχοῦντας	V-	εὐτυχέω
εὐτυχεῖς	A-	εὐτυχής
εὐτυχὴς	A-	εὐτυχής
εὐτυχὴς	A-	εὐτυχὴς
εὐτυχίαι	Nb	εὐτυχία
εὐτυχοῖτε	V-	εὐτυχοῖτε
εὐφαμεῖτ	V-	εὐφαμεῖτ
εὐφιλὴς	A-	εὐφιλὴς
ἐπισπέσθαι	v--anm---	ἐφέπω
ἐπίσπῃ	v2sase---	ἐφέπω
ἐφετμὰς	n-p---fa-	ἐφετμή
ἐφηβήσαντά	v-sapama-	ἐφηβήω
ἐφορμήσαντα	v-sapama-	ἐφορμέω
ἔφυσ	V-	ἔφυσ
ἐχθήρας	v-sapamn-	ἐχθεήρω
ἔχθρας	n-s---fg-	ἔχθρη
ἐχθίστης	a-s---fg-	ἐχθρός
ἔχθιστον	a-s---ma-	ἐχθρός
ἔχθιστον	a-s---nn-	ἐχθρός
Ἔχθιστον	a-s---nn-	ἐχθρός
ἐχθίστους	a-p---ma-	ἐχθρός
ἐχθρά	a-p---nn-	ἐχθρός
ἐχθρὰ	a-s---fn-	ἐχθρός
ἐχθρὰ	a-p---na-	ἐχθρός
ἐχθρὰ	a-p---nn-	ἐχθρός
ἐχθρότατον	a-s---mas	ἐχθρός
ἐχούσας	v-pppafa-	ἔχω
ζημίαις	Nb	ζημία
ζητητέα	a-p---na-	ζητητής
ζόας	Nb	ζόας
ζόα	n-s---fd-	ζόη
ζόαν	n-s---fa-	ζόη
ζόας	n-p---fa-	ζόη
ζόας	n-s---fg-	ζόη
ζυγόν	Nb	ζυγόν
ζυγοῖσι	Nb	ζυγός
ζουσα	v-sppafn-	ζω
ζουσι	v3ppia---	ζω
ζώνας	n-p---fa-	ζώνη
ζώσας	v-pppafa-	ζώω
ας	a-p---fa-	η
ας	n-p---fa-	η
ἡβήσαντες	v-papamn-	ἡβέω
ἥβαν	n-s---fa-	ἥβη
ἥβας	n-p---fa-	ἥβη
ἥβας	n-s---fg-	ἥβη
ἥβας	v-sapamn-	ἥβη
Ἥβας	n-p---fa-	Ἥβη
ἡβήσαντά	v-sapama-	ἡβήω
ἡγητέα	V-	ἡγητής
ἡδείας	a-s---fg-	ἡδεῖος
ἥδιστα	a-p---nas	ἡδέως
ἥδιστα	a-p---na-	ἡδέως
ἠδικήθη	V-	ἠδικάω
ἡδίστων	a-p---mg-	ἡδῖστος
ἥδιστόν	A-	ἥδιστος
ἁδονὰν	n-s---fa-	ἡδονή
ἡδονάς	n-p---fa-	ἡδονή
ἡδονὰς	n-p---fa-	ἡδονή
ἡδονὰς	Nb	ἡδονή
Ἤιδη	Nb	Ἤιδη
Ἤιδη	V-	Ἤιδη
ἤισχυνας	V-	ἤισχυνω
ἡλίου	Nb	ἥλιος
ἡλίωι	Nb	ἡλίωι
ἠμείψατο	V-	ἠμείψατο
ἡμένας	V-	ἡμένας
ἁμερᾶν	n-s---fa-	ἡμερᾶ
ἡμέραν	Nb	ἡμέρα
ἡμέρας	Nb	ἡμέρα
ἁμέτερα	a-p---na-	ἡμέτερος
ἁμέτερον	a-s---ma-	ἡμέτερος
ἁμέτερον	a-s---na-	ἡμέτερος
ἁμέτερον	a-s---nn-	ἡμέτερος
ἁμετέρου	a-s---mg-	ἡμέτερος
ἁμετέρων	a-p---mg-	ἡμέτερος
ἁμετέρων	a-p---ng-	ἡμέτερος
ἡμετέρας	a-p---fa-	ἡμέτερος
ἡμετέρας	a-s---fg-	ἡμέτερος
ἀμόν	a-s---ma-	ἡμός
ἀμὸν	a-s---na-	ἡμός
ἀμὸν	a-s---ma-	ἡμός
ἠμποληκότα	v-srpama-	ἠμποληκώς
ἤμυνας	V-	ἤμυνας
ἠπατώμεθα	V-	ἠπατάω
Ἥρα	V-	Ἥρα
Ἥρα	n-s---fv-	Ἥρη
Ἥρα	n-s---fn-	Ἥρη
ᾑρήκασιν	v3pria---	ᾑρήκω
Ἥρα	n-s---mv-	Ἥρης
ἠσκήσαμεν	v1paia---	ἠσκήω
ἡσσητέα	V-	ἡσσητέα
ἥσυχοι	A-	ἥσυχος
ἡσύχως	Df	ἡσύχως
ἀχῶν	v-sppamn-	ἠχέω
θαλάμας	Nb	θαλάμας
θαλαμοπόλων	Nb	θαλαμοπόλων
θαλάσσηι	Nb	θαλάσση
θάλπει	V-	θάλπω
θανάτους	Nb	θάνατος
θάψω	V-	θάπτω
θάρσος	Nb	θάρσος
θαυμάσῃ	V-	θαυμάζω
θάψω	V-	θάψω
θέαμ	Nb	θέαμ
θεαμάτων	Nb	θεαμάτων
θεάν	n-s---fa-	θεή
θεία	a-s---fn-	θεῖος
θείαν	a-s---fa-	θεῖος
θείας	a-s---fg-	θεῖος
θελούσας	v-pppafa-	θέλω
θεραπεῖαιἀλλὰ	Nb	θεραπεῖαιἀλλὰ
θερίζων	V-	θερίζω
θερμὰ	a-p---na-	θερμός
θερμὰ	a-p---nn-	θερμός
θερμὰν	a-s---fa-	θερμός
θερμὰς	a-p---fa-	θερμός
θεσμίοις	a-p---nd-	θεσμῖος
θεσπιέπει	V-	θεσπιέπει
θεσπίσματα	Nb	θεσπίσματα
Θήβας	n-s---fg-	θήβη
θήκας	n-p---fa-	θήκη
θηκτὰ	a-p---na-	θηκτός
θηρσὶ	n-p---md-	θήρ
θήραμα	Nb	θήραμα
Θηρατέ	V-	Θηρατέ
θηριῶδες	A-	θηριῶδεςς
Θησέα	n-s---ma-	Θησέ
Θησέα	n-s---ma-	Θησές
ἔθανες	v2saia---	θνήσκω
θανεῖν	v--ana---	θνήσκω
Θανεῖν	v--ana---	θνήσκω
θανεῖται	v3sfim---	θνήσκω
θάνῃ	v3sasa---	θνήσκω
θάνῃς	v2sasa---	θνήσκω
θάνοι	v3saoa---	θνήσκω
θάνοιμι	v1saoa---	θνήσκω
θάνοις	v2saoa---	θνήσκω
θανόντα	v-sapama-	θνήσκω
θανόντας	v-papama-	θνήσκω
θανόντες	v-papamn-	θνήσκω
Θανόντες	v-papamn-	θνήσκω
θανόντι	v-sapamd-	θνήσκω
θανόντος	v-sapamg-	θνήσκω
θανόντων	v-papamg-	θνήσκω
θανοῦμαι	v1sfim---	θνήσκω
θανούμενος	v-sfpmmn-	θνήσκω
θανοῦσά	v-sapafn-	θνήσκω
θανούσης	v-sapafg-	θνήσκω
θανοῦσι	v-papamd-	θνήσκω
θανοῦσί	v-papamd-	θνήσκω
θανοῦσιν	v-papamd-	θνήσκω
θάνω	v3pasa---	θνήσκω
θάνω	v1sasa---	θνήσκω
θανών	v-sapamn-	θνήσκω
θανὼν	v-sapamn-	θνήσκω
θάνωσι	v3pasa---	θνήσκω
τεθνηκότα	v-srpama-	θνήσκω
τεθνηκότας	v-prpama-	θνήσκω
ἔθανε	v3saia---	θνῄσκω
θνατοῖς	a-p---md-	θνητός
θνατῶν	a-p---ng-	θνητός
θνατῶν	a-p---mg-	θνητός
θνητὰ	a-p---nn-	θνητός
θνητὰ	a-p---na-	θνητός
θοὰ	a-s---fn-	θοός
θοὰν	a-s---fa-	θοός
θοὰς	a-p---fa-	θοός
θράσει	A-	θράσει
θρασύνου	V-	θρασύνω
ἐθρέψατο	V-	θρέπτω
θρέψας	v-sapamn-	θρέπτω
θρέψασα	v-sapafn-	θρέπω
θρέψασά	v-sapafn-	θρέπω
τεθραμμένη	v-srpefn-	θρέπω
θρεομένας	v-sppefg-	θρέω
θριγκοῖς	Nb	θριγκοῖς
θρα	a-p---na-	θρος
θυγατέρας	Nb	θυγατέρας
θυγατρὸς	Nb	θυγάτηρ
θύσασι	V-	θύζω
θυμοῦσθε	V-	θυμόω
θύρετρα	Nb	θύρετρα
θύρσωι	Pi	θύρσωι
Ἰ	x--------	Ἰ
ἰαλέμωι	Ne	ἰαλέμω
Ἰάνων	Nb	Ἰάνων
ἰατρόμαντις	Nb	ἰατρόμαντις
ἰδίαι	A-	ἰδίος
ἰδόμαν	v1siie---	ἶδον
ἰδόμαν	v1saim---	ἶδον
ἵεμεν	V-	ἵεμεν
ἵετ	V-	ἵετ
ἵζει	V-	ἵζω
ἵζου	V-	ἵζω
Ἰκαρίων	A-	ἰκάριος
ἱκεσίου	A-	ἱκέσιος
ἱκετεύσατε	V-	ἱκετεύω
ἱκέτευσε	V-	ἱκετεύω
ἵλεως	Df	ἴλαος
Ἰλίωι	Ne	Ἰλίω
ἵμειρ	V-	ἵμειρ
ἵν	G-	ἵν
ἵνα	G-	ἵνα
Ἰοὺς	Nb	ἰός
ἱππικοῖσι	A-	ἱππικός
ἱρὰς	Nb	ἱρός
ἴσθ’	V-	ἴσθ’
ἴσμεν	V-	ἴσμεν
Ἰσμήν	V-	Ἰσμήν
ἰσόμοιρ	A-	ἰσόμοιρ
ἴσας	A-	ἴσος
ἱστάναι	V-	ἱστάνω
ἱστορήσωμεν	V-	ἱστορέω
ἴστω	V-	ἴστω
ἴσχειν	V-	ἴσχω
ἴτ	V-	ἴτ
Ἰφιγένειαν	Ne	Ἰφιγένεια
Ἰοῦς	Nb	ἰώ
ἰὼ	Ne	ἰώ
Ἰὼ	Nb	ἰώ
ἰωάν	x--------	ἰωάνς
ἰωιὼ	Ne	ἰωιώ
ἰώτί	x--------	ἰώτί
κτα	a-p---na-	κ
κἀγαθὰς	A-	κἀγαθός
κἀγγεγραμμέν	V-	κἀγγεγραμμέν
κἄγημας	V-	κἄγημας
Καδμείοισι	A-	Καδμεῖος
καθέσταμεν	V-	καθέσταμεν
καθεστώτων	A-	καθεστώτων
καθῆσθ	V-	κάθημ
κάθηται	V-	κάθημαι
καθήμενον	V-	καθήμενον
καθιερωμένος	V-	καθιερωμένος
καθέσταμεν	V-	καθίστημι
καταστήσας	V-	καθίστημι
καθυπερτέρα	Df	καθυπερτέρα
κακανδρίαι	Nb	κακανδρία
κακίω	A-	κακίων
κἀκκομιζόντων	V-	κἀκκομιζόντων
κακὰ	A-	κακός
κακὰν	A-	κακός
κακὸν	A-	κακός
κακῶν	A-	κακός
κακῶς	Df	κακός
κακίων	A-	κακύς
καλεῖτ	V-	καλεῖτ
καλεῖτ’	V-	καλεῖτ’
καλεῖ	V-	καλέω
κάλει	V-	καλέω
καλοῦμεν	V-	καλέω
κάλλιον	A-	καλός
καλῶς	Df	καλός
καλοῦσαι	V-	καλοῦσαι
καλυμμάτων	Nb	καλυμμάτων
κάλυκος	Nb	κάλυξ
κάλωρα	A-	κάλωρα
κἀνταῦθ	Df	κἀνταῦθ
Κάνωβος	Ne	Κάνωβος
κἀξευρίσκετε	V-	κἀξευρίσκω
κἀξομοιοῦσθαι	V-	κἀξομοιόω
κἀξορθιάζων	V-	κἀξορθιάζω
κἀπ	R-	κἀπ
κἀπ	C-	κἀπ
Καπανέως	Ne	Καπανεύς
κἄπειτα	Df	κἄπειτα
κἀπεκύρωσεν	V-	κἀπεκύρωσεν
κἀπέλυσ	V-	κἀπέλυσ
κἀπικειμένας	V-	κἀπικίημι
κἀπὸ	R-	κἀπό
κἀπὸ	R-	κἀπὸ
κάρᾳ	Nb	κάρα
καρδίαι	Nb	καρδία
καρδίαν	Nb	καρδία
καρδίας	Nb	καρδία
καρτεροῦνθ	V-	καρτεροῦνθ
κἀσεβοῦντ	V-	κἀσεβοῦντ
κασιγνήτης	Nb	κασιγνήτη
κασιγνήτην	Nb	κασιγνήτην
κασιγνήτας	Nb	κασιγνήτης
κασίγνητος	Nb	κασίγνητος
κἄστ	C-	κἄστ
κἄστιν	F-	κἄστιν
καθ’	R-	κατά
κατ’	R-	κατά
κατθανὼν	V-	καταθνήσκω
κατειδόμαν	V-	κατειδόμαν
κατέκτονας	V-	κατέκτονα
κατίδετ	V-	κατίδετ
κατέστρωσεν	V-	κατό-στόρεννυμι
κάτοχον	V-	κάτοχον
κάτω	Df	κάτω
ἐκδήσαντο	v3paim---	κδήζω
κεδνὰ	a-p---nn-	κεδνός
κεδνὰ	a-p---na-	κεδνός
κεδνὰς	a-p---fa-	κεδνός
κεκτημένας	V-	κεκτημένας
κέλσασα	v-sapafn-	κέλζω
ἐκέλσαμεν	v1paia---	κέλλω
κέλσας	v-sapamn-	κέλω
κενά	a-p---na-	κενός
κενά	a-p---nn-	κενός
κενάς	a-p---fa-	κενός
κενὰς	a-p---fa-	κενός
κενώσας	v-sapamn-	κενόω
κέντρα	n-p---na-	κέντρον
κερσάμενος	v-sapmmn-	κεόρ
κεραίας	Nb	κεραία
κεραυνίους	A-	κεράυνιος
κηλήσαντά	v-sapama-	κηλήω
κηρὶ	n-s---fd-	κήρ
κέαρ	n-s---nn-	κῆρ
κέαρ	n-s---na-	κῆρ
ΚΗΡΥΞἴυζε	V-	ΚΗΡΥΞἴυζε
ΚΗΡΥΞἰὼ	A-	ΚΗΡΥΞἰὼ
κινδύνευε	V-	κινδύνευε
κίνδυνον	Nb	κίνδυνος
κλέψας	v-sapamn-	κλέπτω
κλέψασα	v-sapafn-	κλέπτω
κλέψας	v-sapamn-	κλέφω
κληδόνα	n-s---fa-	κληδών
κληδόνας	n-p---fa-	κληδών
κλῃζομέναν	v-sppefa-	κλῄζω
κλιπεῖν	v--ana---	κλῖπον
κλοπὰς	n-p---fa-	κλοπή
κλυτὰν	A-	κλυτός
κλύετε	V-	κλύω
κάμοιμι	v1saoa---	κμήσκω
κοίλας	a-p---fa-	κοῖλος
κοίμα	V-	κοίμα
κοινὰν	A-	κοινός
κοινὰς	A-	κοινός
κόμαν	n-s---fa-	κόμη
κόμας	n-p---fa-	κόμη
κομίζετε	V-	κομίζετε
κόμιζ	V-	κόμιζμι
κομίζετε	V-	κομίζω
κομίζου	V-	κομίζω
κομψὰ	a-p---na-	κομψός
κοντας	a-p---fa-	κοντος
κόρσας	v-sapamn-	κόρζω
κόρα	n-s---fa-	κόρη
κόρα	n-s---fn-	κόρη
κόρα	n-s---fv-	κόρη
κόραν	n-s---fa-	κόρη
κόρας	n-p---fa-	κόρη
κόρας	n-s---fg-	κόρη
κόρας	Nb	κόρη
κούρας	n-p---fa-	κόρη
Κόρας	n-s---fg-	Κόρη
κόραν	n-s---ma-	κόρης
κορύνης	Nb	κορύνη
κορυφᾷ	Nb	κορυφάω
κεσι	n-p---nd-	κος
κοσμησάμενοι	v-papmmn-	κοσμέω
κοσμήσας	v-sapamn-	κοσμέω
κοσμήσας	V-	κοσμέω
κοὔτις	Ne	κοὔτις
κπλαγῇς	v2sasp---	κπλέγω
κρατοῦντας	V-	κρατοῦντας
κρατοῦντε	V-	κρατοῦντε
κρήνας	n-p---fa-	κρήνη
Κρησίους	A-	Κρήσιος
Κρήσσας	n-p---fa-	Κρήσση
Κρήτας	n-p---ma-	Κρήτης
Κρονίου	n-s---mg-	Κρονῖος
κρύπτει	V-	κρύπτω
κρύφιον	A-	κρύφιος
κρύψετε	V-	κρύψετε
κρύψηι	V-	κρύψηι
ἐκτείναμεν	V-	κτείνω
κτείνας	V-	κτείνω
κτένας	n-p---fa-	κτένη
κτήματος	n-s---ng-	κτήμωρ
κτησίων	A-	κτησίων
κτητὰ	n-p---na-	κτητόν
κτίσονσῳζομένων	V-	κτίσονσῳζομένων
κτάνῃ	v3sasa---	κτνήσκω
κτανόντες	v-papamn-	κτνήσκω
κτανόντι	v-sapamd-	κτνήσκω
κτανοῦσι	v-papamd-	κτνήσκω
κτανοῦσί	v-papamd-	κτνήσκω
κτάνω	v1sasa---	κτνήσκω
κυκλοῦνται	V-	κυκλοῦνται
κύκλωι	Nb	κύκλω
κύματι	Nb	κύματι
κυνέας	Nb	κυνέη
κυροῦντα	V-	κυρέω
κυρήσεις	V-	κυρήσεις
κυριωτέροις	A-	κυριός
κυρίους	Nb	κυρίους
κυρίωι	A-	κυρίωι
Κύρου	n-s---mg-	κῦρος
κύων	Nb	κύων
κωλύουσαν	V-	κωλύω
κωλύσει	V-	κωλύω
κώπας	n-p---fa-	κώπη
κὠρφανὴν	Nb	κὠρφανή
κωφὰ	a-p---nn-	κωφός
λάζυσθε	V-	λάζυσθε
λαμβάνεις	V-	λαμβάνεις
λαμπάδα	Nb	λαμπάς
λαμπρᾷ	A-	λαμπρός
λαμπρὸς	A-	λαμπρός
Λατὼ	Ne	Λατώ
Εἴρηκα	v1sria---	λέγω
Εἴρηκας	v2sria---	λέγω
λελεγμένα	v-prpena-	λέγω
λέξαντος	v-sapamg-	λέγω
λέξας	v-sapamn-	λέγω
λέξας	v2saia---	λέγω
λεκτά	a-p---nn-	λεκτός
λέκτρα	Nb	λέκτρα
λέκτρα	Nb	λέκτρον
λέκτρα	n-p---nn-	λέκτρον
λέκτρα	n-p---na-	λέκτρον
λέξαντες	v-papamn-	λέκω
λέπας	n-p---fa-	λέπη
λέπας	a-p---fa-	λέπη
λεπτὰ	a-p---na-	λεπτόν
Λέρνας	n-s---fg-	Λέρνη
λέσχαν	n-s---fa-	λέσχη
λέσχας	n-p---fa-	λέσχη
λέξασα	v-sapafn-	λέχω
λήξαντος	v-sapamg-	λήγω
λήξας	v-sapamn-	λήγω
ληξάσῃ	v-sapafd-	λήγω
Λήδα	n-s---fa-	Λήδη
Λήδα	n-s---fn-	Λήδη
Λήδας	n-p---fa-	Λήδη
Λήδας	n-s---fg-	Λήδη
Λήδας	v2spia---	Λήδη
ἐλήισατο	V-	λήιδομαι
Λήϊτος	n-s---mn-	λήῖτος
λήξαντα	v-sapama-	λήκω
Λημνία	a-s---fv-	Λημνῖος
λήξαντ	V-	λήξαντ
Λήδα	n-s---fa-	Λής
Λήδας	n-p---fa-	Λής
Λήδας	n-s---fg-	Λής
Λῃστὰς	n-p---ma-	λῃστής
Λητῴα	n-s---fn-	λητῷος
λήξασα	v-sapafn-	λήχω
λιβάνου	Nb	λιβάνος
Λιβύας	Nb	Λιβύς
λίμναι	Nb	λίμναι
λιποῦσ	V-	λιποῦσ
λιταῖς	Nb	λιτή
λιτὰς	Nb	λιτή
λιτῶν	Nb	λιτή
λόγχαν	n-s---fa-	λόγχη
λόγχας	n-p---fa-	λόγχη
λόγχας	n-s---fg-	λόγχη
λόγχα	n-p---na-	λόγχος
Λοξίαι	Ne	Λοξία
Λοξίᾳ	Ne	Λοξίᾳ
Λοξίας	Ne	λοξίας
Λοξίου	Ne	Λοξίας
Λοξίου	n-s---mg-	Λοξῖος
λοτρίας	a-s---fg-	λοτρῖος
λοχαγῶν	Nb	λοχαγή
λοχίταις	Nb	λοχίτης
λυμεὼν	V-	λυμεὼ
λύπας	Nb	λύπας
λυπῆι	Nb	λυπῆ
λύπηι	Nb	λύπη
λυπρὰ	A-	λυπρός
λώβα	n-s---fn-	λώβη
λώβαν	n-s---fa-	λώβη
λώβας	n-p---fa-	λώβη
μα	x--------	μα
μανείη	V-	μαίνω
μακαρία	A-	μακάριος
μακαρία	Pi	μακάριος
μακάριός	A-	μακάριος
μακρὰν	Df	μακράν
μακρᾶς	A-	μακρός
μακρὸν	A-	μακρός
μαλθακισθένθ	V-	μαλθακισθένθ
μάλιστά	Df	μάλιστα
μανείς	Nb	μανείς
μάνθαν	V-	μάνθαν
μανθάνουσ	V-	μανθάνουσ
μανίας	Nb	μανία
μαντείας	Nb	μαντεία
μάντεις	Nb	μάντεις
μαντεῖ	Nb	μαντῖς
μάντεων	Nb	μάντις
μαρτύριά	Nb	μαρτύριον
ματαίων	A-	μάταιος
μάταν	V-	μάτας
ματέρες	Nb	ματέρες
ματέρος	Nb	ματέρος
ματροκασιγνῆται	Nb	ματροκασιγνῆται
μάχαιραν	Nb	μάχαιρα
μάχηι	Nb	μάχηι
μέγιστον	A-	μέγας
μεγάλᾳ	a-p---na-	μέγᾳς
μεγασθενὴς	Ne	μεγασθενὴς
μέγιστον	A-	μέγιστον
μελαγχαί	Nb	μελαγχαί
μέλαθρον	Nb	μέλαθρον
μελάμπεπλος	Mo	μελάμπεπλος
μελέας	a-p---fa-	μελέη
μελέα	a-p---na-	μελέος
μελέα	a-s---fv-	μελέος
μελέα	a-p---nn-	μελέος
μελέας	a-s---fg-	μελέος
μελέαν	a-s---fa-	μέλεος
μελέα	a-p---na-	μελής
μελίσσης	Ne	μέλισσα
μελλούσας	v-pppafa-	μέλλω
